Region,Ownership,Program,Project Name,Site Name,GPS Level,Point Name,Ocean Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,End Transect Decimal Lat,End Transect Decimal Lon,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.7935544000001,128 7.14632399999971,51.64655924,-128.1191054,51.6465595,-128.1193762,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,270,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.755764,128 7.16199000000074,51.6459294,-128.1193665,51.6459304,-128.1196358,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,270,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.7192792,128 7.15513799999997,51.64532132,-128.1192523,51.6453219,-128.1195226,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,270,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Pruth Bay,transect,PRUTH_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.6849243999998,128 7.19044799999949,51.64474874,-128.1198408,51.6447483,-128.1201111,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,270,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.8900125999998,127 51.9432618000002,51.78150021,-127.865721,51.7814855,-127.8659938,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,downstream,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.8111935999998,127 52.2377639999999,51.78018656,-127.8706294,51.7800574,-127.870801,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,downstream,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.7554980000001,127 52.3123998,51.7792583,-127.8718733,51.7793933,-127.871718,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,upstream,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.9041467999999,127 51.9571049999996,51.78173578,-127.8659518,51.7817186,-127.8662255,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,downstream,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.8189689999998,127 52.2558840000002,51.78031615,-127.8709314,51.7801791,-127.8710927,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,downstream,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Koeye Estuary,transect,KOEYE_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.7602062,127 52.3237632000001,51.77933677,-127.8720627,51.7794713,-127.8719035,2016,observation,"annual (2019 - current), seasonal (2015-2018)",,transect,upstream,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSESE_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.4568000000002,128 27.3887999999999,51.92428,-128.45648,51.9244289,-128.4563569,2014,observation,annual,,transect,10,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSESE_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.3530000000001,128 27.2244000000006,51.92255,-128.45374,51.9224675,-128.4535001,2014,observation,annual,,transect,100,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSESE_E3,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.3643999999999,128 26.9502000000006,51.92274,-128.44917,51.9225851,-128.449276,2014,observation,annual,,transect,185,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSESE_I4,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.4634000000002,128 27.1355999999997,51.92439,-128.45226,51.9243131,-128.452002,2014,observation,annual,,transect,100,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSESE_I5,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.5911999999998,128 27.1902,51.92652,-128.45317,51.9264292,-128.4529429,2014,observation,annual,,transect,105,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SE,transect,GOOSESE_I6,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.6596000000002,128 27.0071999999999,51.92766,-128.45012,51.9275171,-128.4499858,2014,observation,annual,,transect,135,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSESW_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.4496599999999,128 27.7132199999994,51.924161,-128.461887,51.923997,-128.4619505,2014,observation,annual,,transect,175,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSESW_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.3637399999998,128 27.7683000000002,51.922729,-128.462805,51.9225762,-128.4629252,2014,observation,annual,,transect,190,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSESW_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.3442999999999,128 27.9752399999995,51.922405,-128.466254,51.9224712,-128.4665005,2014,observation,annual,,transect,275,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSESW_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.43694,128 28.0481999999995,51.923949,-128.46747,51.9238715,-128.4672291,2014,observation,annual,,transect,100,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSESW_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.3671600000001,128 27.8719199999995,51.922786,-128.464532,51.9229506,-128.4645492,2014,observation,annual,,transect,340,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Goose SW,transect,GOOSESW_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,51 55.4389200000001,128 27.8442599999994,51.923982,-128.464071,51.9241301,-128.4639467,2014,observation,annual,,transect,10,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLN_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.6660000000002,128 24.8058000000003,52.0611,-128.41343,52.0609428,-128.4135346,2014,observation,annual,,transect,185,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLN_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.72299999999996,128 24.8334000000006,52.06205,-128.41389,52.0622169,-128.4138951,2014,observation,annual,,transect,345,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLN_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.68700000000004,128 24.7325999999993,52.06145,-128.41221,52.0616071,-128.4121496,2014,observation,annual,,transect,355,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLN_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.68279999999999,128 24.7584000000006,52.06138,-128.41264,52.0615442,-128.4126607,2014,observation,annual,,transect,340,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLN_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.68279999999999,128 24.7902000000005,52.06138,-128.41317,52.0615399,-128.4131071,2014,observation,annual,,transect,355,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin North,transect,MCMULLN_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.69299999999981,128 24.8243999999994,52.06155,-128.41374,52.0616633,-128.4135447,2014,observation,annual,,transect,30,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLS_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.14519999999987,128 24.1697999999997,52.05242,-128.40283,52.0522601,-128.4027513,2014,observation,annual,,transect,145,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLS_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.10020000000009,128 24.1757999999999,52.05167,-128.40293,52.0515099,-128.4028586,2014,observation,annual,,transect,145,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLS_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.07259999999985,128 24.2021999999997,52.05121,-128.40337,52.05137,-128.4034277,2014,observation,annual,,transect,330,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLS_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.12060000000017,128 24.1901999999993,52.05201,-128.40317,52.0521718,-128.4031252,2014,observation,annual,,transect,350,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLS_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.15120000000007,128 24.1973999999999,52.05252,-128.40329,52.0526802,-128.4032477,2014,observation,annual,,transect,350,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,McMullin South,transect,MCMULLS_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,52 3.18360000000013,128 24.1872000000001,52.05306,-128.40312,52.0609455,-128.4135328,2014,observation,annual,,transect,145,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQBAY_E1,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.5928,128 14.1300000000001,51.80988,-128.2355,51.8099049,-128.2352323,2014,observation,annual,,transect,65,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQBAY_E2,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.5975999999998,128 14.0795999999995,51.80996,-128.23466,51.8098621,-128.2344445,2014,observation,annual,,transect,110,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQBAY_E3,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.5622000000001,128 14.0303999999992,51.80937,-128.23384,51.8092058,-128.2339058,2014,observation,annual,,transect,175,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQBAY_I4,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.5502000000001,128 14.1125999999997,51.80917,-128.23521,51.8093332,-128.2351482,2014,observation,annual,,transect,355,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQBAY_I5,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.5213999999999,128 14.1516000000001,51.80869,-128.23586,51.808372,-128.2363096,2014,observation,annual,,transect,25,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet Bay,transect,TRIQBAY_I6,NA,sand,seagrass meadow,Zostera marina,active,yes,51 48.4950000000001,128 14.1894000000002,51.80825,-128.23649,51.8087153,-128.2474194,2014,observation,annual,,transect,155,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQN_E1,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5657999999999,128 14.8548,51.80943,-128.24758,51.8095231,-128.247356,2014,observation,annual,,transect,40,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQN_E2,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5544000000002,128 14.8290000000003,51.80924,-128.24715,51.8093998,-128.2472394,2014,observation,annual,,transect,325,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQN_E3,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5196000000002,128 14.8115999999999,51.80866,-128.24686,51.8086741,-128.2465916,2014,observation,annual,,transect,70,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQN_I4,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5166000000001,128 14.8259999999993,51.80861,-128.2471,51.8085188,-128.2468732,2014,observation,annual,,transect,105,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQN_I5,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5328000000001,128 14.8475999999994,51.80888,-128.24746,51.8087153,-128.2474186,2014,observation,annual,,transect,155,30,201710,,,,,,
Calvert,Hakai,Nearshore,Seagrass,Triquet North,transect,TRIQN_I6,NA,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5441999999999,128 14.8415999999992,51.80907,-128.24736,51.8089438,-128.2471864,2014,observation,annual,,transect,120,30,201710,,,,,,
Calvert,Hakai,Nearshore,Rocky Intertidal,North Beach,site,NA,ROCKY07,bedrock,attached fauna,multiple communities,active,yes,51 39.9048000000002,128 8.08200000000056,51.66508,-128.1347,,,2016,observation,seasonal,,quadrat,NA,NA,201710,,,,,,
Calvert,Hakai,Nearshore,Rocky Intertidal,West Beach,site,NA,ROCKY06,bedrock,attached fauna,multiple communities,active,yes,51 39.4453800000001,128 8.92883999999924,51.657423,-128.148814,NA,NA,2016,observation,seasonal,,quadrat,NA,NA,201710,,,,,,
Calvert,Hakai,Nearshore,Rocky Intertidal,Fifth Beach,site,NA,ROCKY03,bedrock,attached fauna,multiple communities,active,yes,51 38.4408000000002,128 9.40674000000001,51.64068,-128.156779,NA,NA,2016,observation,seasonal,,quadrat,NA,NA,201710,,,,,,
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,McMullin,site,NA,REEF11,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,52 4.24200000000013,128 24.3899999999996,52.0707,-128.4065,NA,NA,2013,observation,annual,,transect and quadrat,175,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Athabaskan,site,NA,REEF10,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,52 1.44300000000015,128 18.0469980000004,52.02405,-128.3007833,NA,NA,2013,observation,annual,,transect and quadrat,200,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Simonds,site,NA,REEF09,bedrock,benthic macroalgae,Macrocystis pyrifera,active,yes,51 57.6179999999998,128 15.6859979999996,51.9603,-128.2614333,NA,NA,2013,observation,annual,,transect and quadrat,350,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Gosling,site,NA,REEF08,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 53.964,128 25.9469999999993,51.8994,-128.43245,NA,NA,2013,observation,annual,,transect and quadrat,25,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Triquet,site,NA,REEF07,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 48.3432000000001,128 15.4800000000006,51.80572,-128.258,NA,NA,2013,observation,annual,,transect and quadrat,NA,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Mercury,site,NA,REEF06,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 44.6530002,128 4.1590020000001,51.74421667,-128.0693167,NA,NA,2013,observation,annual,,transect and quadrat,50,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Kelpie,site,NA,REEF05,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 43.9939997999998,127 59.7589980000004,51.73323333,-127.9959833,NA,NA,2013,observation,annual,,transect and quadrat,350,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Odlum,site,NA,REEF04,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 41.5600002000001,128 6.98800199999937,51.69266667,-128.1164667,NA,NA,2013,observation,annual,,transect and quadrat,0,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Starfish,site,NA,REEF03,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 40.8150000000001,128 7.53900000000044,51.68025,-128.12565,NA,NA,2013,observation,annual,,transect and quadrat,120,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Second,site,NA,REEF02,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 38.9089997999999,128 9.3569999999994,51.64848333,-128.15595,NA,NA,2013,observation,annual,,transect and quadrat,75,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Rocky Reef,Thrasher,site,NA,REEF01,bedrock,benthic macroalgae,Nereocystis luetkeana,active,yes,51 24.6199998,127 55.1719979999999,51.41033333,-127.9195333,NA,NA,2013,observation,annual,,transect and quadrat,0,30,20181116,,,,,"3 transects at each depth (3-6m, 10-13m)",
Calvert,Hakai,Nearshore,Kelp - Macro,Simonds,site,NA,MACRO05,"bedrock, sand",benthic macroalgae,Macrocystis pyrifera,active,yes,51 57.7121999999999,128 15.7139999999998,51.96187,-128.2619,NA,NA,2014,observation,annual,,transect and quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert",
Calvert,Hakai,Nearshore,Kelp - Macro,Golden,site,NA,MACRO04,"bedrock, sand",benthic macroalgae,Macrocystis pyrifera,active,yes,51 54.1842,128 12.7799999999996,51.90307,-128.213,NA,NA,2014,observation,annual,,transect and quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert",
Calvert,Hakai,Nearshore,Kelp - Macro,Stryker,site,NA,MACRO06,"bedrock, sand",benthic macroalgae,Macrocystis pyrifera,active,yes,52 5.0149998000002,128 21.8730000000005,52.08358333,-128.36455,NA,NA,2014,observation,annual,,transect and quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert",
Calvert,Hakai,Nearshore,Kelp - Macro,Triquet,site,NA,MACRO01,"bedrock, sand",benthic macroalgae,Macrocystis pyrifera,active,yes,51 48.3430002000002,128 15.4789980000004,51.80571667,-128.2579833,NA,NA,2014,observation,annual,,transect and quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert; seasonal 2014 - 2018, annual 2019",
Calvert,Hakai,Nearshore,Kelp - Macro,Westbeach,site,NA,MACRO10,"cobble, sand",benthic macroalgae,Macrocystis pyrifera,active,yes,51 38.9500199999999,128 9.11400000000072,51.649167,-128.1519,NA,NA,2014,observation,annual,,transect and quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert; seasonal 2014 - 2018, annual 2020",
Calvert,Hakai,Nearshore,Kelp - Macro,Meay,site,NA,MACRO02,"cobble, sand",benthic macroalgae,Macrocystis pyrifera,active,yes,51 39.8687999999999,128 5.72999999999922,51.66448,-128.0955,NA,NA,2014,observation,annual,,transect and quadrat,NA,20,20181116,,,,,"3 transects at same depth, used 30m transects for fish and invert",
