,organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,surveyor,hakai_id,sample_type,depth,transect_dist_m,collected_start,collected_end,bag_uid,bag_number,density_range,substrate,patchiness,adj_habitat_1,adj_habitat_2,sample_collected,vegetation_1,vegetation_2,comments,quality_log
11,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_EDGE2_5 - 10,seagrass_habitat,3,10-May,8/6/2021 2:49,8/6/2021 2:53,2021-08-06_PRUTH_BAY_EDGE2_5 - 10,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,drift,NA,NA,1: QCd by KB
12,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",zach,21387,seagrass_habitat,2.4,0 - 5,8/6/2021 2:49,8/6/2021 2:53,21387,8003,NA,"sand,shell hash",< 1,sand,NA,TRUE,drift,NA,NA,1: QCd by KB
13,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",zach,21369,seagrass_habitat,4.6,25 - 30,8/6/2021 3:44,8/6/2021 3:47,21369,4003,NA,sand,< 1,sand,NA,TRUE,drift,NA,NA,1: QCd by KB
14,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",zach,21278,seagrass_habitat,4.6,20 - 25,8/6/2021 3:44,8/6/2021 3:47,21278,4019,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by KB
15,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_EDGE3_15 - 20,seagrass_habitat,4.6,15 - 20,8/6/2021 3:44,8/6/2021 3:47,2021-08-06_PRUTH_BAY_EDGE3_15 - 20,NA,NA,sand,< 1,sand,NA,FALSE,NA,NA,NA,1: QCd by KB
16,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",zach,21596,seagrass_habitat,4.4,15-Oct,8/6/2021 3:44,8/6/2021 3:47,21596,8057,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by KB
17,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_EDGE3_5 - 10,seagrass_habitat,4.6,10-May,8/6/2021 3:44,8/6/2021 3:47,2021-08-06_PRUTH_BAY_EDGE3_5 - 10,NA,NA,sand,< 1,sand,NA,FALSE,NA,NA,NA,1: QCd by KB
18,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",zach,21599,seagrass_habitat,4.2,0 - 5,8/6/2021 3:44,8/6/2021 3:47,21599,43,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by KB
19,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",zach,21385,seagrass_habitat,3.7,25 - 30,8/9/2021 7:11,8/9/2021 7:15,21385,6,NA,"sand,cobble",< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
20,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",zach,21480,seagrass_habitat,3.7,20 - 25,8/9/2021 7:11,8/9/2021 7:15,21480,4014,NA,"sand,cobble",< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
21,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_EDGE2_15 - 20,seagrass_habitat,3.7,15 - 20,8/9/2021 7:11,8/9/2021 7:15,2021-08-09_KOEYE_ESTUARY_EDGE2_15 - 20,NA,NA,"sand,cobble",< 1,sand,NA,FALSE,NA,NA,NA,1: QCd by FM
22,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",zach,21271,seagrass_habitat,3.7,15-Oct,8/9/2021 7:11,8/9/2021 7:15,21271,4001,NA,"sand,cobble",2-Jan,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
23,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_EDGE2_5 - 10,seagrass_habitat,3.8,10-May,8/9/2021 7:11,8/9/2021 7:15,2021-08-09_KOEYE_ESTUARY_EDGE2_5 - 10,NA,NA,"sand,cobble",< 1,sand,NA,FALSE,NA,NA,NA,1: QCd by FM
24,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",zach,21279,seagrass_habitat,3.9,0 - 5,8/9/2021 7:11,8/9/2021 7:15,21279,4044,NA,"sand,cobble",< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
25,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",zach,21570,seagrass_habitat,2.5,25 - 30,8/6/2021 4:07,8/6/2021 4:10,21570,1,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
26,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",zach,21602,seagrass_habitat,2.7,20 - 25,8/6/2021 4:07,8/6/2021 4:10,21602,4006,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
27,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_INTERIOR4_15 - 20,seagrass_habitat,2.7,15 - 20,8/6/2021 4:07,8/6/2021 4:10,2021-08-06_PRUTH_BAY_INTERIOR4_15 - 20,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by KB
28,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",zach,21284,seagrass_habitat,2.7,15-Oct,8/6/2021 4:07,8/6/2021 4:10,21284,4034,NA,sand,< 1,seagrass,NA,TRUE,grac,NA,NA,1: QCd by KB
29,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_INTERIOR4_5 - 10,seagrass_habitat,2.8,10-May,8/6/2021 4:07,8/6/2021 4:10,2021-08-06_PRUTH_BAY_INTERIOR4_5 - 10,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by KB
30,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",zach,21298,seagrass_habitat,2.7,0 - 5,8/6/2021 4:07,8/6/2021 4:10,21298,41,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
31,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",zach,21481,seagrass_habitat,2.9,25 - 30,8/6/2021 6:48,8/6/2021 6:51,21481,9999,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
32,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",zach,21299,seagrass_habitat,2.9,20 - 25,8/6/2021 6:48,8/6/2021 6:51,21299,310,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
33,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_INTERIOR5_15 - 20,seagrass_habitat,2.9,15 - 20,8/6/2021 6:48,8/6/2021 6:51,2021-08-06_PRUTH_BAY_INTERIOR5_15 - 20,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by KB
34,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",zach,21401,seagrass_habitat,2.9,15-Oct,8/6/2021 6:48,8/6/2021 6:51,21401,4000,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
35,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_INTERIOR5_5 - 10,seagrass_habitat,3,10-May,8/6/2021 6:48,8/6/2021 6:51,2021-08-06_PRUTH_BAY_INTERIOR5_5 - 10,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by KB
36,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",zach,21492,seagrass_habitat,3,0 - 5,8/6/2021 6:48,8/6/2021 6:51,21492,4015,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
37,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",zach,21395,seagrass_habitat,3,25 - 30,8/6/2021 6:20,8/6/2021 6:25,21395,4037,NA,sand,3-Feb,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
38,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",zach,21393,seagrass_habitat,3.1,20 - 25,8/6/2021 6:20,8/6/2021 6:25,21393,4008,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by KB
39,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_INTERIOR6_15 - 20,seagrass_habitat,2.8,15 - 20,8/6/2021 6:20,8/6/2021 6:25,2021-08-06_PRUTH_BAY_INTERIOR6_15 - 20,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by KB
40,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",zach,21585,seagrass_habitat,2.7,15-Oct,8/6/2021 6:20,8/6/2021 6:25,21585,527,NA,sand,< 1,seagrass,NA,TRUE,grac,NA,NA,1: QCd by KB
41,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",zach,2021-08-06_PRUTH_BAY_INTERIOR6_5 - 10,seagrass_habitat,2.7,10-May,8/6/2021 6:20,8/6/2021 6:25,2021-08-06_PRUTH_BAY_INTERIOR6_5 - 10,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by KB
42,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",zach,21272,seagrass_habitat,2.7,0 - 5,8/6/2021 6:20,8/6/2021 6:25,21272,4,NA,sand,2-Jan,seagrass,NA,TRUE,grac,NA,NA,1: QCd by KB
43,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-09,4,"carolyn,faye,krystal",zach,21380,seagrass_habitat,4.2,25 - 30,8/10/2021 7:37,8/10/2021 7:41,21380,8,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
44,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-09,4,"carolyn,faye,krystal",zach,21382,seagrass_habitat,4.1,20 - 25,8/10/2021 7:37,8/10/2021 7:41,21382,11,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
45,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-09,4,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_INTERIOR4_15 - 20,seagrass_habitat,4,15 - 20,8/10/2021 7:37,8/10/2021 7:41,2021-08-09_KOEYE_ESTUARY_INTERIOR4_15 - 20,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by FM
46,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-09,4,"carolyn,faye,krystal",zach,21379,seagrass_habitat,4,15-Oct,8/10/2021 7:37,8/10/2021 7:41,21379,126,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
47,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-09,4,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_INTERIOR4_5 - 10,seagrass_habitat,4,10-May,8/10/2021 7:37,8/10/2021 7:41,2021-08-09_KOEYE_ESTUARY_INTERIOR4_5 - 10,NA,NA,sand,< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by FM
48,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-09,4,"carolyn,faye,krystal",zach,21583,seagrass_habitat,3.9,0 - 5,8/10/2021 7:37,8/10/2021 7:41,21583,7025,NA,sand,< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
49,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-09,1,"carolyn,faye,krystal",zach,21475,seagrass_habitat,4.1,25 - 30,8/10/2021 8:08,8/10/2021 8:12,21475,301,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
50,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-09,1,"carolyn,faye,krystal",zach,21476,seagrass_habitat,4.1,20 - 25,8/10/2021 8:08,8/10/2021 8:12,21476,4023,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
51,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-09,1,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_EDGE1_15 - 20,seagrass_habitat,4.1,15 - 20,8/10/2021 8:08,8/10/2021 8:12,2021-08-09_KOEYE_ESTUARY_EDGE1_15 - 20,NA,NA,sand,< 1,sand,NA,FALSE,NA,NA,NA,1: QCd by FM
52,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-09,1,"carolyn,faye,krystal",zach,21285,seagrass_habitat,4.1,15-Oct,8/10/2021 8:08,8/10/2021 8:12,21285,4032,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
53,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-09,1,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_EDGE1_5 - 10,seagrass_habitat,4,10-May,8/10/2021 8:08,8/10/2021 8:12,2021-08-09_KOEYE_ESTUARY_EDGE1_5 - 10,NA,NA,sand,2-Jan,sand,NA,FALSE,NA,NA,NA,1: QCd by FM
54,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-09,1,"carolyn,faye,krystal",zach,21277,seagrass_habitat,3.6,0 - 5,8/10/2021 8:08,8/10/2021 8:12,21277,7062,NA,sand,2-Jan,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
55,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",zach,21454,seagrass_habitat,4.5,25 - 30,8/11/2021 7:00,8/11/2021 7:03,21454,4040,NA,sand,3-Feb,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
56,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",zach,21452,seagrass_habitat,4.4,20 - 25,8/11/2021 7:00,8/11/2021 7:03,21452,4,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
57,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",zach,2021-08-11_GOOSE_SOUTHWEST_EDGE1_15 - 20,seagrass_habitat,4.3,15 - 20,8/11/2021 7:00,8/11/2021 7:03,2021-08-11_GOOSE_SOUTHWEST_EDGE1_15 - 20,NA,NA,sand,3-Feb,sand,NA,FALSE,NA,NA,NA,1: QCd by FM
58,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",zach,21352,seagrass_habitat,4,15-Oct,8/11/2021 7:00,8/11/2021 7:03,21352,4000,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
59,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",zach,2021-08-11_GOOSE_SOUTHWEST_EDGE1_5 - 10,seagrass_habitat,4,10-May,8/11/2021 7:00,8/11/2021 7:03,2021-08-11_GOOSE_SOUTHWEST_EDGE1_5 - 10,NA,NA,sand,2-Jan,sand,NA,FALSE,NA,NA,NA,1: QCd by FM
60,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",zach,21353,seagrass_habitat,4,0 - 5,8/11/2021 7:00,8/11/2021 7:03,21353,99999,NA,sand,< 1,sand,NA,TRUE,NA,NA,NA,1: QCd by FM
61,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",zach,21377,seagrass_habitat,4,25 - 30,8/9/2021 8:20,8/9/2021 8:24,21377,4020,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
62,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",zach,21378,seagrass_habitat,4,20 - 25,8/9/2021 8:20,8/9/2021 8:24,21378,4028,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
63,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_INTERIOR6_15 - 20,seagrass_habitat,4.3,15 - 20,8/9/2021 8:20,8/9/2021 8:24,2021-08-09_KOEYE_ESTUARY_INTERIOR6_15 - 20,NA,NA,"sand,gravel",2-Jan,seagrass,NA,FALSE,NA,NA,NA,1: QCd by FM
64,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",zach,21282,seagrass_habitat,4.4,15-Oct,8/9/2021 8:20,8/9/2021 8:24,21282,4030,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
65,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_INTERIOR6_5 - 10,seagrass_habitat,4.5,10-May,8/9/2021 8:20,8/9/2021 8:24,2021-08-09_KOEYE_ESTUARY_INTERIOR6_5 - 10,NA,NA,"sand,gravel",4-Mar,seagrass,NA,FALSE,NA,NA,NA,1: QCd by FM
66,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",zach,21575,seagrass_habitat,4.6,0 - 5,8/9/2021 8:20,8/9/2021 8:24,21575,307,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
67,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_INTERIOR5_15 - 20,seagrass_habitat,4.1,15 - 20,8/9/2021 7:39,8/9/2021 7:43,2021-08-09_KOEYE_ESTUARY_INTERIOR5_15 - 20,NA,NA,"sand,gravel",< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by FM
68,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",zach,21581,seagrass_habitat,4.3,25 - 30,8/9/2021 7:39,8/9/2021 7:43,21581,8047,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
69,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",zach,21580,seagrass_habitat,4.1,20 - 25,8/9/2021 7:39,8/9/2021 7:43,21580,7,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
70,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",zach,21280,seagrass_habitat,4.1,15-Oct,8/9/2021 7:39,8/9/2021 7:43,21280,4007,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
71,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",zach,2021-08-09_KOEYE_ESTUARY_INTERIOR5_5 - 10,seagrass_habitat,3.9,10-May,8/9/2021 7:39,8/9/2021 7:43,2021-08-09_KOEYE_ESTUARY_INTERIOR5_5 - 10,NA,NA,"sand,gravel",< 1,seagrass,NA,FALSE,NA,NA,NA,1: QCd by FM
72,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",zach,21281,seagrass_habitat,3.9,0 - 5,8/9/2021 7:39,8/9/2021 7:43,21281,4012,NA,"sand,gravel",< 1,seagrass,NA,TRUE,NA,NA,NA,1: QCd by FM
