,organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,surveyor,hakai_id,sample_type,depth,transect_dist_m,collected_start,collected_end,density,density__m2_,canopy_height_cm,flowering_shoots,comments,quality_log
11,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_15,seagrass_density,4,15,8/10/2021 7:40,8/10/2021 7:49,12,192,275,NA,NA,1: QCd by KB
12,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_10,seagrass_density,3.9,10,8/10/2021 7:40,8/10/2021 7:49,10,160,300,NA,NA,1: QCd by KB
13,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_5,seagrass_density,3.9,5,8/10/2021 7:40,8/10/2021 7:49,13,208,250,NA,NA,1: QCd by KB
14,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_0,seagrass_density,3.9,0,8/10/2021 7:40,8/10/2021 7:49,5,80,250,NA,NA,1: QCd by KB
15,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_30,seagrass_density,3.2,30,8/6/2021 2:53,8/6/2021 2:59,4,64,80,NA,NA,1: QCd by CP
16,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_25,seagrass_density,3.5,25,8/6/2021 2:53,8/6/2021 2:59,1,16,135,NA,NA,1: QCd by CP
17,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_20,seagrass_density,3.5,20,8/6/2021 2:53,8/6/2021 2:59,10,160,120,NA,NA,1: QCd by CP
18,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_15,seagrass_density,3.4,15,8/6/2021 2:53,8/6/2021 2:59,3,48,80,NA,NA,1: QCd by CP
19,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_10,seagrass_density,3,10,8/6/2021 2:53,8/6/2021 2:59,3,48,100,NA,NA,1: QCd by CP
20,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_5,seagrass_density,2.6,5,8/6/2021 2:53,8/6/2021 2:59,0,0,0,NA,NA,1: QCd by CP
21,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2021-08-06,2,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE2_0,seagrass_density,2.4,0,8/6/2021 2:53,8/6/2021 2:59,12,192,70,NA,NA,1: QCd by CP
22,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_30,seagrass_density,4.1,30,8/10/2021 8:11,8/10/2021 8:18,4,64,180,NA,NA,1: QCd by KB
23,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_25,seagrass_density,4,25,8/10/2021 8:11,8/10/2021 8:18,6,96,250,NA,NA,1: QCd by KB
24,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_20,seagrass_density,4.1,20,8/10/2021 8:11,8/10/2021 8:18,18,288,180,NA,NA,1: QCd by KB
25,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_15,seagrass_density,4,15,8/10/2021 8:11,8/10/2021 8:18,16,256,175,NA,NA,1: QCd by KB
26,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_10,seagrass_density,3.9,10,8/10/2021 8:11,8/10/2021 8:18,7,112,230,NA,NA,1: QCd by KB
27,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_5,seagrass_density,3.8,5,8/10/2021 8:11,8/10/2021 8:18,17,272,225,NA,NA,1: QCd by KB
28,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE1,2021-08-10,1,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE1_0,seagrass_density,3.2,0,8/10/2021 8:11,8/10/2021 8:18,23,368,200,NA,NA,1: QCd by KB
29,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_30,seagrass_density,4.2,30,8/6/2021 3:47,8/6/2021 3:51,1,16,80,NA,NA,1: QCd by CP
30,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_25,seagrass_density,4.3,25,8/6/2021 3:47,8/6/2021 3:51,2,32,110,NA,NA,1: QCd by CP
31,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_20,seagrass_density,4.3,20,8/6/2021 3:47,8/6/2021 3:51,7,112,105,NA,NA,1: QCd by CP
32,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_15,seagrass_density,4.3,15,8/6/2021 3:47,8/6/2021 3:51,0,0,80,NA,NA,1: QCd by CP
33,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_10,seagrass_density,4.5,10,8/6/2021 3:47,8/6/2021 3:51,5,80,80,NA,NA,1: QCd by CP
34,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_5,seagrass_density,4.4,5,8/6/2021 3:47,8/6/2021 3:51,1,16,110,NA,NA,1: QCd by CP
35,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2021-08-06,3,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE3_0,seagrass_density,4.1,0,8/6/2021 3:47,8/6/2021 3:51,3,48,100,NA,NA,1: QCd by CP
36,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_30,seagrass_density,3.7,30,8/9/2021 7:14,8/9/2021 7:22,0,0,200,NA,NA,1: QCd by KB
37,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_25,seagrass_density,3.7,25,8/9/2021 7:14,8/9/2021 7:22,21,336,200,NA,NA,1: QCd by KB
38,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_20,seagrass_density,3.7,20,8/9/2021 7:14,8/9/2021 7:22,19,304,215,NA,NA,1: QCd by KB
39,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_15,seagrass_density,3.6,15,8/9/2021 7:14,8/9/2021 7:22,14,224,180,NA,NA,1: QCd by KB
40,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_10,seagrass_density,3.7,10,8/9/2021 7:14,8/9/2021 7:22,15,240,210,NA,NA,1: QCd by KB
41,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_5,seagrass_density,3.7,5,8/9/2021 7:14,8/9/2021 7:22,14,224,200,NA,NA,1: QCd by KB
42,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_EDGE2,2021-08-09,2,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_EDGE2_0,seagrass_density,3.5,0,8/9/2021 7:14,8/9/2021 7:22,10,160,210,NA,NA,1: QCd by KB
43,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_30,seagrass_density,2.6,30,8/6/2021 4:09,8/6/2021 4:15,11,176,60,NA,NA,1: QCd by CP
44,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_25,seagrass_density,2.6,25,8/6/2021 4:09,8/6/2021 4:15,19,304,65,NA,NA,1: QCd by CP
45,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_20,seagrass_density,2.5,20,8/6/2021 4:09,8/6/2021 4:15,24,384,75,NA,NA,1: QCd by CP
46,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_15,seagrass_density,2.4,15,8/6/2021 4:09,8/6/2021 4:15,39,624,75,NA,NA,1: QCd by CP
47,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_10,seagrass_density,2.4,10,8/6/2021 4:09,8/6/2021 4:15,23,368,80,NA,NA,1: QCd by CP
48,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_5,seagrass_density,2.7,5,8/6/2021 4:09,8/6/2021 4:15,14,224,60,NA,NA,1: QCd by CP
49,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2021-08-06,4,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR4_0,seagrass_density,2.7,0,8/6/2021 4:09,8/6/2021 4:15,26,416,60,NA,NA,1: QCd by CP
50,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_30,seagrass_density,2.9,30,8/6/2021 6:50,8/6/2021 6:57,37,592,80,NA,NA,1: QCd by CP
51,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_25,seagrass_density,2.8,25,8/6/2021 6:50,8/6/2021 6:57,27,432,70,NA,NA,1: QCd by CP
52,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_20,seagrass_density,2.9,20,8/6/2021 6:50,8/6/2021 6:57,33,528,60,NA,NA,1: QCd by CP
53,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_15,seagrass_density,2.8,15,8/6/2021 6:50,8/6/2021 6:57,23,368,60,NA,NA,1: QCd by CP
54,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_10,seagrass_density,2.8,10,8/6/2021 6:50,8/6/2021 6:57,25,400,50,NA,NA,1: QCd by CP
55,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_5,seagrass_density,2.9,5,8/6/2021 6:50,8/6/2021 6:57,19,304,75,NA,NA,1: QCd by CP
56,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2021-08-06,5,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR5_0,seagrass_density,2.9,0,8/6/2021 6:50,8/6/2021 6:57,10,160,80,NA,NA,1: QCd by CP
57,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_30,seagrass_density,2.9,30,8/6/2021 6:23,8/6/2021 6:29,14,224,60,NA,NA,1: QCd by CP
58,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_25,seagrass_density,2.8,25,8/6/2021 6:23,8/6/2021 6:29,6,96,30,NA,NA,1: QCd by CP
59,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_20,seagrass_density,3,20,8/6/2021 6:23,8/6/2021 6:29,42,672,70,NA,NA,1: QCd by CP
60,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_15,seagrass_density,2.7,15,8/6/2021 6:23,8/6/2021 6:29,43,688,50,NA,NA,1: QCd by CP
61,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_10,seagrass_density,2.6,10,8/6/2021 6:23,8/6/2021 6:29,31,496,60,NA,NA,1: QCd by CP
62,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_5,seagrass_density,2.6,5,8/6/2021 6:23,8/6/2021 6:29,25,400,60,NA,NA,1: QCd by CP
63,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2021-08-06,6,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_INTERIOR6_0,seagrass_density,2.4,0,8/6/2021 6:23,8/6/2021 6:29,21,336,50,NA,NA,1: QCd by CP
64,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_30,seagrass_density,4.6,30,8/11/2021 7:01,8/11/2021 7:07,7,112,75,NA,NA,1: QCd by ZM
65,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_25,seagrass_density,4.4,25,8/11/2021 7:01,8/11/2021 7:07,14,224,150,NA,NA,1: QCd by ZM
66,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_20,seagrass_density,3.9,20,8/11/2021 7:01,8/11/2021 7:07,4,64,125,NA,NA,1: QCd by ZM
67,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_15,seagrass_density,4.1,15,8/11/2021 7:01,8/11/2021 7:07,12,192,80,NA,NA,1: QCd by ZM
68,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_10,seagrass_density,4,10,8/11/2021 7:01,8/11/2021 7:07,7,112,100,NA,NA,1: QCd by ZM
69,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_5,seagrass_density,4,5,8/11/2021 7:01,8/11/2021 7:07,5,80,80,NA,NA,1: QCd by ZM
70,HAKAI,CALVERT,MARINEGEO,GOOSE_SOUTHWEST,GOOSE_SOUTHWEST_EDGE1,2021-08-11,1,"carolyn,faye,krystal",derek,2021-08-11_GOOSE_SOUTHWEST_EDGE1_0,seagrass_density,4.1,0,8/11/2021 7:01,8/11/2021 7:07,12,192,200,NA,NA,1: QCd by ZM
71,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_30,seagrass_density,3.8,30,8/9/2021 8:22,8/9/2021 8:31,21,336,225,NA,NA,1: QCd by KB
72,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_25,seagrass_density,3.9,25,8/9/2021 8:22,8/9/2021 8:31,7,112,180,NA,NA,1: QCd by KB
73,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_20,seagrass_density,4,20,8/9/2021 8:22,8/9/2021 8:31,13,208,125,NA,NA,1: QCd by KB
74,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_15,seagrass_density,4.1,15,8/9/2021 8:22,8/9/2021 8:31,14,224,275,NA,NA,1: QCd by KB
75,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_10,seagrass_density,4,10,8/9/2021 8:22,8/9/2021 8:31,10,160,190,NA,NA,1: QCd by KB
76,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_5,seagrass_density,4.1,5,8/9/2021 8:22,8/9/2021 8:31,7,112,200,NA,NA,1: QCd by KB
77,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR6,2021-08-09,6,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR6_0,seagrass_density,4.6,0,8/9/2021 8:22,8/9/2021 8:31,7,112,225,NA,NA,1: QCd by KB
78,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_30,seagrass_density,4.1,30,8/9/2021 7:42,8/9/2021 7:50,17,272,210,NA,NA,1: QCd by KB
79,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_25,seagrass_density,4.1,25,8/9/2021 7:42,8/9/2021 7:50,11,176,230,NA,NA,1: QCd by KB
80,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_20,seagrass_density,4,20,8/9/2021 7:42,8/9/2021 7:50,7,112,225,NA,NA,1: QCd by KB
81,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_15,seagrass_density,4.1,15,8/9/2021 7:42,8/9/2021 7:50,8,128,190,NA,NA,1: QCd by KB
82,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_10,seagrass_density,4,10,8/9/2021 7:42,8/9/2021 7:50,12,192,175,NA,NA,1: QCd by KB
83,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_5,seagrass_density,4,5,8/9/2021 7:42,8/9/2021 7:50,9,144,200,NA,NA,1: QCd by KB
84,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR5,2021-08-09,5,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR5_0,seagrass_density,3.9,0,8/9/2021 7:42,8/9/2021 7:50,8,128,230,NA,NA,1: QCd by KB
85,HAKAI,CALVERT,MARINEGEO,TRIQUET_BAY,TRIQUET_BAY_EDGE3,2021-08-13,3,"carolyn,faye,krystal",derek,2021-08-13_TRIQUET_BAY_EDGE3_30,seagrass_density,3.4,30,8/13/2021 3:38,8/13/2021 3:46,9,144,180,NA,NA,1: QCd by KB
